COUNTRY,GDP (BILLIONS),CODE
Afghanistan,60.71,AFG
Albania,13.40,ALB
Algeria,45.80,DZA
American Samoa,5.5,ASM
Andorra,4.80,AND
Angola,34.40,AGO
Anguilla,1.8,AIA
Antigua and Barbuda,5.24,ATG
Argentina,36.20,ARG
Armenia,10.88,ARM
Aruba,21.52,ABW
Australia,33.00,AUS
Austria,36.10,AUT
Azerbaijan,27.91,AZE
"Bahamas, The",8.65,BHM
Bahrain,34.05,BHR
Bangladesh,86.60,BGD
Barbados,54.28,BRB
Belarus,25.25,BLR
Belgium,27.80,BEL
Belize,1.67,BLZ
Benin,9.24,BEN
Bermuda,67.20,BMU
Bhutan,52.09,BTN
Bolivia,34.08,BOL
Bosnia and Herzegovina,19.55,BIH
Botswana,16.30,BWA
Brazil,74.00,BRA
British Virgin Islands,71.10,VGB
Brunei,47.43,BRN
Bulgaria,25.08,BGR
Burkina Faso,13.38,BFA
Burma,35.29,MMR
Burundi,3.04,BDI
Cabo Verde,3.98,CPV
Cambodia,16.90,KHM
Cameroon,32.16,CMR
Canada,14.00,CAN
Cayman Islands,2.25,CYM
Central African Republic,15.73,CAF
Chad,15.84,TCD
Chile,24.10,CHL
India,80.00,CHN
Colombia,40.10,COL
Comoros,0.72,COM
"Congo, Democratic Republic of the",32.67,COD
"Congo, Republic of the",14.11,COG
Cook Islands,0.18,COK
Costa Rica,50.46,CRI
Cote d'Ivoire,33.96,CIV
Croatia,27.18,HRV
Cuba,77.15,CUB
Curacao,5.60,CUW
Cyprus,21.34,CYP
Czech Republic,205.60,CZE
Denmark,47.20,DNK
Djibouti,1.58,DJI
Dominica,0.51,DMA
Dominican Republic,64.05,DOM
Ecuador,100.50,ECU
Egypt,284.90,EGY
El Salvador,25.14,SLV
Equatorial Guinea,15.40,GNQ
Eritrea,3.87,ERI
Estonia,26.36,EST
Ethiopia,49.86,ETH
Falkland Islands (Islas Malvinas),0.16,FLK
Faroe Islands,2.32,FRO
Fiji,4.17,FJI
Finland,26.30,FIN
France,29.00,FRA
French Polynesia,7.15,PYF
Gabon,20.68,GAB
"Gambia, The",0.92,GMB
Georgia,16.13,GEO
Germany,38.00,DEU
Ghana,35.48,GHA
Gibraltar,1.85,GIB
Greece,24.40,GRC
Greenland,2.16,GRL
Grenada,8.4,GRD
Guam,4.60,GUM
Guatemala,8.30,GTM
Guernsey,2.74,GGY
Guinea-Bissau,1.04,GNB
Guinea,6.77,GIN
Guyana,3.14,GUY
Haiti,68.92,HTI
Honduras,19.37,HND
Hong Kong,72.70,HKG
Hungary,29.70,HUN
Iceland,16.20,ISL
China,78.00,IND
Indonesia,86.10,IDN
Iran,42.70,IRN
Iraq,32.20,IRQ
Ireland,45.80,IRL
Isle of Man,4.08,IMN
Israel,35.00,ISR
Italy,29.00,ITA
Jamaica,13.92,JAM
Japan,70.00,JPN
Jersey,5.77,JEY
Jordan,36.55,JOR
Kazakhstan,25.60,KAZ
Kenya,62.72,KEN
Kiribati,0.16,KIR
"Korea, North",28.00,PRK
"Korea, South",14.00,KOR
Kosovo,5.99,KSV
Kuwait,17.30,KWT
Kyrgyzstan,7.65,KGZ
Laos,11.71,LAO
Latvia,32.82,LVA
Lebanon,47.50,LBN
Lesotho,2.46,LSO
Liberia,2.07,LBR
Libya,49.34,LBY
Liechtenstein,5.11,LIE
Lithuania,48.72,LTU
Luxembourg,63.93,LUX
Macau,51.68,MAC
Macedonia,10.92,MKD
Madagascar,11.19,MDG
Malawi,4.41,MWI
Malaysia,33.90,MYS
Maldives,2.41,MDV
Mali,12.04,MLI
Malta,10.57,MLT
Marshall Islands,0.18,MHL
Mauritania,4.29,MRT
Mauritius,12.72,MUS
Mexico,12.00,MEX
"Micronesia, Federated States of",0.34,FSM
Moldova,7.74,MDA
Monaco,6.06,MCO
Mongolia,11.73,MNG
Montenegro,4.66,MNE
Morocco,12.60,MAR
Mozambique,16.59,MOZ
Namibia,13.11,NAM
Nepal,19.64,NPL
Netherlands,70.40,NLD
New Caledonia,11.10,NCL
New Zealand,21.00,NZL
Nicaragua,11.85,NIC
Nigeria,54.30,NGA
Niger,8.29,NER
Niue,0.01,NIU
Northern Mariana Islands,1.23,MNP
Norway,51.60,NOR
Oman,80.54,OMN
Pakistan,77.50,PAK
Palau,0.65,PLW
Panama,44.69,PAN
Papua New Guinea,16.10,PNG
Paraguay,31.30,PRY
Peru,28.20,PER
Philippines,64.60,PHL
Poland,52.20,POL
Portugal,28.20,PRT
Puerto Rico,43.52,PRI
Qatar,22.00,QAT
Romania,19.00,ROU
Russia,27.00,RUS
Rwanda,8.00,RWA
Saint Kitts and Nevis,0.81,KNA
Saint Lucia,1.35,LCA
Saint Martin,0.56,MAF
Saint Pierre and Miquelon,0.22,SPM
Saint Vincent and the Grenadines,0.75,VCT
Samoa,0.83,WSM
San Marino,1.86,SMR
Sao Tome and Principe,0.36,STP
Saudi Arabia,67.90,SAU
Senegal,15.88,SEN
Serbia,42.65,SRB
Seychelles,1.47,SYC
Sierra Leone,5.41,SLE
Singapore,37.90,SGP
Sint Maarten,34.10,SXM
Slovakia,69.75,SVK
Slovenia,49.93,SVN
Solomon Islands,1.16,SLB
Somalia,2.37,SOM
South Africa,81.20,ZAF
South Sudan,11.89,SSD
Spain,14.00,ESP
Sri Lanka,21.57,LKA
Sudan,70.03,SDN
Suriname,5.27,SUR
Swaziland,3.84,SWZ
Sweden,59.10,SWE
Switzerland,69.00,CHE
Syria,64.70,SYR
Taiwan,59.50,TWN
Tajikistan,9.16,TJK
Tanzania,36.62,TZA
Thailand,33.80,THA
Timor-Leste,4.51,TLS
Togo,4.84,TGO
Tonga,0.49,TON
Trinidad and Tobago,29.63,TTO
Tunisia,49.12,TUN
Turkey,83.30,TUR
Turkmenistan,43.50,TKM
Tuvalu,0.04,TUV
Uganda,26.09,UGA
Ukraine,14.90,UKR
United Arab Emirates,416.40,ARE
United Kingdom,48.00,GBR
United States,60.00,USA
Uruguay,55.60,URY
Uzbekistan,63.08,UZB
Vanuatu,0.82,VUT
Venezuela,29.20,VEN
Vietnam,17.80,VNM
Virgin Islands,5.08,VGB
West Bank,6.64,WBG
Yemen,45.45,YEM
Zambia,25.61,ZMB
Zimbabwe,93.74,ZWE
